crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,residential,,,,Avenida Raphael Chrysanto Sampaio Guerra,,,ground,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,1497.6754278411938
,service,,,,,,,paved,,,,,,,parking_aisle,,,,,,,,,,,,,,,,0.0,104.7039931465468
,residential,,,,Avenida Gvernador Geremias de Mattos Fontes,,,ground,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,2364.2035943357378
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,398.3066504751282
,residential,,,,Rua Betel,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,110.91284148553135
,residential,,,,Rua Eliete Vicente Ferreira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,174.42231262748368
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,205.27653780732092
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,49.96882607914761
,residential,,,,Rua Nelson Ribeiro,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,170.79115803405838
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,41.301591600223524
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,238.56409170197068
,residential,,,,Rua Passos Dias,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,182.5009248516709
,residential,,,,Rua da Paz,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,182.18517263923303
,residential,,,,Rua Tim Maia,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,342.0849699875255
,residential,,,,Rua Ruy Moutinho de Almeida,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,107.52805686609354
,residential,,,,Rua Leony de Souza Alvarenga,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,299.41107366709707
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,42.135078506654125
,residential,,,,Rua José Ferreira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,171.40171588298767
,residential,,,,Rua Wilson de Santana,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,113.59433176706389
,residential,,,,Rua Linguado,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,238.9595371991998
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,90.25376848229557
,residential,,,,Rua José Roberto Bertrami,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,172.9851743928515
,residential,,,,Rua Mota Carvalho,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,293.4544656063758
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,259.4469932297499
,residential,,,,Vila Adalgisa,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,213.4023027874776
,residential,,,,Rua Tom Jobim,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,342.5623022344515
,residential,,,,,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,35.12398213400286
,residential,,,,Rua Ivandro Lúcio do Amaral Drumond,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,117.88635137878059
,residential,,,,Rua Alfredo Motta,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,297.5229566228617
,residential,,,,Rua Viola,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,222.72682351452434
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,95.16877161603976
,residential,,,,Travessa 1,,,paved,,,,,Travessa Um,,,,,,,,,,,,,,,,,,0.0,92.64923389862989
,residential,,,,Travessa 4,,,paved,,,,,Travessa Quatro,,,,,,,,,,,,,,,,,,0.0,114.43489761607404
,residential,,,,Rua Raul Seixas,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,388.34316659415975
